id,name,section,country,image
261,NORRBOTTENSPITZ,Nordic Hunting Dogs,SWEDEN,http://www.fci.be/Nomenclature/Illustrations/276g05.jpg
262,CROATIAN SHEPHERD DOG,Sheepdogs,CROATIA,http://www.fci.be/Nomenclature/Illustrations/277g01.jpg
263,KARST SHEPHERD DOG,Molossian type,SLOVENIA,http://www.fci.be/Nomenclature/Illustrations/278g02.jpg
264,MONTENEGRIN MOUNTAIN HOUND,Scent hounds,MONTENEGRO,http://www.fci.be/Nomenclature/Illustrations/279g06.jpg
265,OLD DANISH POINTING DOG,Continental Pointing Dogs,DENMARK,
266,GRAND GRIFFON VENDEEN,Scent hounds,FRANCE,http://www.fci.be/Nomenclature/Illustrations/282g06.jpg
267,COTON DE TULEAR,Bichons and related breeds,MADAGASCAR,
268,LAPPONIAN HERDER,Nordic Watchdogs and Herders,FINLAND,
269,SPANISH GREYHOUND,Short-haired Sighthounds,SPAIN,
270,AMERICAN STAFFORDSHIRE TERRIER,Bull type Terriers,UNITED STATES OF AMERICA,
271,AUSTRALIAN CATTLE DOG,Cattledogs (except Swiss Cattledogs),AUSTRALIA,http://www.fci.be/Nomenclature/Illustrations/287g01.jpg
272,CHINESE CRESTED DOG,Hairless Dogs,CHINA,http://www.fci.be/Nomenclature/Illustrations/288g09.jpg
273,ICELANDIC SHEEPDOG,Nordic Watchdogs and Herders,ICELAND,http://www.fci.be/Nomenclature/Illustrations/289g05.jpg
274,BEAGLE HARRIER,Scent hounds,FRANCE,
275,EURASIAN,Asian Spitz and related breeds,GERMANY,http://www.fci.be/Nomenclature/Illustrations/291g05.jpg
276,DOGO ARGENTINO,Molossian type,ARGENTINA,http://www.fci.be/Nomenclature/Illustrations/292g02.jpg
277,AUSTRALIAN KELPIE,Sheepdogs,AUSTRALIA,http://www.fci.be/Nomenclature/Illustrations/293g01.jpg
278,OTTERHOUND,Scent hounds,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/294g06.jpg
279,HARRIER,Scent hounds,GREAT BRITAIN,
280,COLLIE SMOOTH,Sheepdogs,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/296g01.jpg
281,BORDER COLLIE,Sheepdogs,GREAT BRITAIN,http://www.fci.be/Nomenclature/Illustrations/297g01.jpg
282,ROMAGNA WATER DOG,Water Dogs,ITALY,http://www.fci.be/Nomenclature/Illustrations/298g08-01.jpg
283,GERMAN HOUND,Scent hounds,GERMANY,
