breed,color,dogName,zip
CHIHUAHUA,WHITE/BROWN,BAMBI,15088
MALTESE,WHITE,ABBY,15014
MIXED,BLACK/BROWN,DAISY,15024
BEAGLE,WHITE/BLACK/BROWN,BETTY,15227
SIB HUSKY MIX,YELLOW,MISTY,15104
MIXED,MULTI,JAKE,15101
BEAGLE,MULTI,ABIGAIL,15202
MIXED,SPOTTED,BECKER,15202
YORKSHIRE TERR MIX,BLACK/TAN,TEDDY,15132
W HGHLND WH TERRIER,WHITE,MAC,15101
COCKER SPANIEL,BUFF,LUCY,15146
BEAGLE,MULTI,BILLY,15122
ST BERNARD,WHITE/RED,CHLOE,15238
MIXED,WHITE,MOLLY,15101
POMERANIAN,WHITE,ROMEO,15025
MIXED,WHITE/BLACK,DAKOTA,15202
AM ESKIMO DOG,WHITE,BELL,15239
ST BERNARD,WHITE/BLACK,FRANKIE,15238
MIXED,WHITE/BLACK/BROWN,PAYTON,15215
RAT TERRIER,SPOTTED,LOLA,15101
SHETLAND SHEEPDOG,WHITE/BROWN,SOPHIE,15135
DACHSHUND,BLACK/TAN,BUSTER,15133
MALTESE,WHITE,CAMMI NICOLE,15122
DACHSHUND,BROWN,KANGA,15236
COLLIE MIX,BLACK/BROWN,LADY BUG,15102
SHIBA INU,WHITE/RED,SUKI,15017
SHIH TZU,MULTI,JENNY,15234
LABRADOR RETRIEVER,BLONDE,SANDY,15229
GER SHEPHERD MIX,BLACK/TAN,JACKSON,15024
GOLDEN RETRIEVER,GOLD,DEXTER,15147
BEAGLE,BLACK,MAGGIE,15122
BOXER,FAWN,JAKE,15228
YORKSHIRE TERRIER,BLACK/GOLD,CHUNK,15136
HAVANESE,MULTI,WILLIE,15205
BEAGLE MIX,SPOTTED,DAISY,15143
LHASA APSO MIX,WHITE/BLACK,FLOSSIE,15215
PULI,BLACK,FRANKIE,15236
BOSTON TERRIER,SPOTTED,MACEO,15237
MIXED,BLACK,ROXI,15132
